iPad ID,Access Point ID,Signal Strength
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,44
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,44
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,38
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,44
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,42
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,43
0452f3638d1a,b45d50f656d0,44
0452f3638d1a,b45d50f656d0,43
